"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"midrand campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","system administrator","master’s degree (m.a., m.s., m.eng., mba, etc.)","go;java;php;powershell;python;ruby;sql","mariadb;mongodb;oracle;postgresql","","jquery","higher education","","aws codewhisperer;mintlify;replit ghostwriter;synk code;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;javascript;kotlin;typescript","firebase realtime database;sqlite","firebase","node.js","retail and consumer services","chatgpt","codeium","independent contractor, freelancer, or self-employed"
"tyger valley campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","senior executive (c-suite, vp, etc.)","master’s degree (m.a., m.s., m.eng., mba, etc.)","apex;c;c#;c++;java;javascript;perl;powershell;python;sql;vba;visual basic (.net)","bigquery;cassandra;microsoft access;microsoft sql server;mongodb;mysql;oracle;postgresql","oracle cloud infrastructure (oci)","asp.net;wordpress","other","chatgpt","github copilot;replit ghostwriter;whispr ai","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","professional degree (jd, md, ph.d, ed.d, etc.)","html/css;javascript;php;sql","mysql;redis","amazon web services (aws)","jquery","manufacturing, transportation, or supply chain","chatgpt;google bard ai","tabnine","independent contractor, freelancer, or self-employed;employed, part-time"
"umhlanga campus","data science","i am a developer by profession","data scientist or machine learning specialist","master’s degree (m.a., m.s., m.eng., mba, etc.)","python","elasticsearch;postgresql","google cloud","","higher education","","tabnine;whispr ai","independent contractor, freelancer, or self-employed"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","c#;javascript;python;sql","microsoft sql server;mongodb;mysql;postgresql;redis","vmware","asp.net;django;express;node.js;react","wholesale","chatgpt","adrenaline;aws codewhisperer;codeium;mintlify;rubber duck.ai;synk code;tabnine","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","engineer, data","bachelor’s degree (b.a., b.s., b.eng., etc.)","python;sql","mysql;postgresql","","","higher education","chatgpt","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, embedded applications or devices","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;html/css;javascript;rust;sql","postgresql","digital ocean","react","manufacturing, transportation, or supply chain","","tabnine","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;typescript","mongodb;postgresql","amazon web services (aws)","angular;express;next.js;node.js;react","advertising services","chatgpt","aws codewhisperer;tabnine","employed, full-time"
"umhlanga campus","computer science","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c++;html/css;javascript;python;typescript","cloud firestore;firebase realtime database;microsoft sql server;mongodb;mysql;postgresql;redis;supabase","cloudflare;firebase;fly.io;heroku;netlify;render;vercel","angular;next.js;react;remix","other","chatgpt;wolframalpha","github copilot;mintlify;tabnine","student, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;gdscript;html/css;lua;powershell;rust;sql;typescript","microsoft sql server","amazon web services (aws)","angular;asp.net core","manufacturing, transportation, or supply chain","","adrenaline;github copilot;tabnine","employed, full-time"
"tyger valley campus","computer science","i am learning to code","","primary/elementary school","python","","","","manufacturing, transportation, or supply chain","","whispr ai","student, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;c++;scala","influxdb;mariadb;microsoft sql server;postgresql;sqlite","cloudflare;microsoft azure","asp.net;asp.net core;play framework","oil & gas","chatgpt","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, embedded applications or devices","some college/university study without earning a degree","bash/shell (all shells)","microsoft sql server;sqlite","digital ocean","","advertising services","","tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","devops specialist","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;powershell","postgresql;redis","microsoft azure;vmware","","legal services","chatgpt","adrenaline;synk code;whispr ai","employed, full-time;independent contractor, freelancer, or self-employed"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);html/css;java;javascript;sql","postgresql","","jquery","healthcare","","aws codewhisperer;codeium;github copilot;mintlify","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;dart;javascript;sql","microsoft sql server;mysql;sqlite","firebase;google cloud;managed hosting","asp.net core;react","other","chatgpt","codeium;tabnine","employed, full-time"
"pretoria campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","","some college/university study without earning a degree","c#;html/css;java;javascript;python","","firebase","jquery","manufacturing, transportation, or supply chain","chatgpt","adrenaline;github copilot;rubber duck.ai","student, full-time"
"tyger valley campus","data science","i am a developer by profession","other (please specify):","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;ruby;sql","elasticsearch;mongodb;postgresql","","jquery;node.js;ruby on rails","information services, it, software development, or other technology","bing ai;chatgpt;google bard ai","synk code","employed, full-time"
"pretoria campus","data science","i code primarily as a hobby","","bachelor’s degree (b.a., b.s., b.eng., etc.)","assembly;c;c#;c++;gdscript;go;html/css;java;javascript;kotlin;lua;powershell;python;rust;swift;typescript","elasticsearch;oracle;redis","google cloud;microsoft azure;netlify","express;flask;react;ruby on rails;vue.js","healthcare","bing ai;chatgpt;you.com","adrenaline;aws codewhisperer","student, full-time"
"midrand campus","data science","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;typescript","","firebase;netlify;openshift","react","manufacturing, transportation, or supply chain","","codeium;tabnine","employed, full-time"
"tyger valley campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c#;c++;html/css;java;javascript;php;python;sql","mongodb;mysql;oracle;sqlite","","","retail and consumer services","","synk code","student, part-time;not employed, and not looking for work"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;sql","microsoft sql server","microsoft azure","asp.net;asp.net core;jquery","information services, it, software development, or other technology","chatgpt","github copilot;synk code;tabnine","employed, full-time"
"tyger valley campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","scientist","professional degree (jd, md, ph.d, ed.d, etc.)","julia;python","","","","other","","adrenaline;github copilot;rubber duck.ai","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;python;sql","microsoft sql server;postgresql;sqlite","microsoft azure","asp.net;asp.net core;blazor","other","","aws codewhisperer;synk code","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","typescript","","","react","manufacturing, transportation, or supply chain","chatgpt","aws codewhisperer;github copilot;whispr ai","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","python","elasticsearch","amazon web services (aws)","elm","oil & gas","chatgpt","aws codewhisperer;codeium;github copilot","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;html/css;javascript;lua;powershell;python;ruby;sql;typescript","influxdb;microsoft sql server;postgresql","microsoft azure","angular;asp.net;asp.net core;jquery;node.js;react","financial services","chatgpt","aws codewhisperer;replit ghostwriter","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;typescript","microsoft sql server","amazon web services (aws);microsoft azure","react","financial services","","adrenaline;mintlify","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;sql;typescript","mariadb;mysql;postgresql;supabase","cloudflare;vercel","express;next.js;node.js;react","legal services","chatgpt","aws codewhisperer;synk code;whispr ai","student, part-time"
"midrand campus","data science","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","","","","","retail and consumer services","","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","c#;delphi;sql","microsoft sql server","","","higher education","chatgpt","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","c#;dart;html/css;javascript;sql;swift","firebase realtime database;microsoft sql server","firebase;google cloud;vmware","asp.net;jquery;node.js","higher education","","synk code","employed, full-time"
"tyger valley campus","data science","i code primarily as a hobby","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","dart;html/css;javascript;python;solidity;typescript","cloud firestore;mongodb;supabase","firebase;google cloud","next.js;react","information services, it, software development, or other technology","bing ai;chatgpt;wolframalpha","github copilot;tabnine;whispr ai","employed, part-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","bash/shell (all shells);c#;html/css;java;javascript;lua;php;powershell;python;sql;typescript","mysql;postgresql;redis;sqlite;supabase","amazon web services (aws);netlify","express;laravel;node.js;vue.js","retail and consumer services","chatgpt","aws codewhisperer;codeium;github copilot;replit ghostwriter;tabnine","employed, full-time"
"tyger valley campus","it","i am a developer by profession","other (please specify):","professional degree (jd, md, ph.d, ed.d, etc.)","bash/shell (all shells);groovy","","hetzner","","higher education","","codeium;synk code;whispr ai","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, back-end","associate degree (a.a., a.s., etc.)","bash/shell (all shells);c#;python;rust","cosmos db;mongodb","microsoft azure","asp.net;asp.net core","retail and consumer services","","aws codewhisperer;codeium;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i used to be a developer by profession, but no longer am","other (please specify):","primary/elementary school","c;html/css;java;javascript;php;powershell;python;sql;typescript","mysql;sqlite","google cloud","express;flask;jquery;node.js;react;vue.js","oil & gas","bing ai","adrenaline;github copilot","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, embedded applications or devices","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;python","","","","higher education","","codeium;github copilot;synk code","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, embedded applications or devices","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c++;python","","microsoft azure","","wholesale","chatgpt","tabnine","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;html/css;python;sql","mongodb;postgresql;sqlite","","asp.net;asp.net core;blazor;django;fastapi;flask","legal services","","github copilot;mintlify;tabnine","independent contractor, freelancer, or self-employed"
"umhlanga campus","data science","i am a developer by profession","other (please specify):","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;html/css;javascript;powershell;sql","cosmos db;dynamodb;microsoft sql server;redis","amazon web services (aws);microsoft azure","asp.net;asp.net core","insurance","","aws codewhisperer;github copilot;synk code;tabnine","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;powershell;sql;typescript","elasticsearch;microsoft sql server;postgresql","microsoft azure","asp.net;asp.net core;jquery","manufacturing, transportation, or supply chain","","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;java;javascript;matlab;php;powershell;python;sql;typescript","influxdb;mariadb;microsoft access;mysql;sqlite","firebase;google cloud;vmware","angularjs;drupal;express;jquery;node.js;react;wordpress","insurance","","github copilot;rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;dart;html/css;java;javascript;python","mongodb","","django;node.js;wordpress","advertising services","chatgpt","github copilot;tabnine;whispr ai","student, full-time"
"umhlanga campus","computer science","i am a developer by profession","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;java;sql","h2;mysql;redis","amazon web services (aws);vmware","express;node.js;spring boot","oil & gas","chatgpt","rubber duck.ai;tabnine","i prefer not to say"
"midrand campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;python","firebase realtime database;mariadb;mongodb;redis","firebase","django;jquery;node.js;vue.js","insurance","","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","php;python;sql","microsoft sql server;sqlite","","django;react","manufacturing, transportation, or supply chain","chatgpt","codeium;github copilot;replit ghostwriter;tabnine","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;delphi;powershell;sql","microsoft sql server;sqlite","","","wholesale","chatgpt","aws codewhisperer;replit ghostwriter;tabnine","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript","mongodb","heroku","express;node.js;react","information services, it, software development, or other technology","chatgpt","aws codewhisperer;rubber duck.ai","employed, full-time"
"tyger valley campus","computer science","i am learning to code","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript","","","","oil & gas","chatgpt","aws codewhisperer;github copilot","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","dart;java;javascript;kotlin;typescript","dynamodb","amazon web services (aws);firebase;openshift","angular;react;spring boot;vue.js","healthcare","chatgpt","replit ghostwriter;tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);go;java;javascript;perl;python;ruby;sql;typescript","cosmos db;couch db;microsoft sql server;mongodb;neo4j","amazon web services (aws);microsoft azure","angular;angularjs;next.js;node.js;react;spring boot","information services, it, software development, or other technology","chatgpt","rubber duck.ai;tabnine","independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;dart;go;kotlin;rust;sql","elasticsearch;postgresql;redis","amazon web services (aws);digital ocean","spring boot","healthcare","chatgpt","codeium;github copilot","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","senior executive (c-suite, vp, etc.)","some college/university study without earning a degree","bash/shell (all shells);html/css;javascript;php;sql","elasticsearch;mariadb;mysql;redis;sqlite","amazon web services (aws);google cloud;microsoft azure","jquery;react;symfony;wordpress","advertising services","chatgpt","mintlify;tabnine","employed, full-time"
"midrand campus","it","i am learning to code","system administrator","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;java;python;sql","mariadb;microsoft sql server;mysql","google cloud","angular;asp.net core;wordpress","manufacturing, transportation, or supply chain","","adrenaline;github copilot;rubber duck.ai;tabnine","employed, full-time;student, part-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c#;html/css;javascript;php;sql;vba","microsoft sql server;mysql;sqlite","amazon web services (aws);digital ocean;microsoft azure;netlify","asp.net core;blazor;laravel;react","advertising services","chatgpt","whispr ai","employed, full-time;independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","computer science","i am a developer by profession","devops specialist","some college/university study without earning a degree","c#;html/css;javascript;sql;typescript","microsoft sql server;oracle","amazon web services (aws);google cloud;microsoft azure","asp.net;asp.net core;node.js;react","manufacturing, transportation, or supply chain","","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","designer","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;javascript;php;sql","mysql;sqlite","","jquery;laravel","oil & gas","chatgpt","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","independent contractor, freelancer, or self-employed"
"umhlanga campus","data science","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;java;javascript;matlab;python;sql;typescript","microsoft sql server;mysql","","angular;asp.net;asp.net core;jquery","other","chatgpt","adrenaline","student, full-time"
"tyger valley campus","it","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","assembly;c;c#;html/css;java;javascript;lua;python;sql;typescript","postgresql;sqlite","cloudflare;microsoft azure;vercel","next.js","legal services","chatgpt","whispr ai","student, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;delphi;go;lua;python;sql","firebird;mariadb;microsoft access;mongodb;mysql;oracle;postgresql;sqlite","","express;flask;jquery;node.js;vue.js","legal services","bing ai;chatgpt;google bard ai;quora poe","adrenaline;aws codewhisperer","independent contractor, freelancer, or self-employed"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;c++;python","sqlite","","","retail and consumer services","chatgpt","aws codewhisperer;github copilot;replit ghostwriter;tabnine","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;clojure;java;javascript;python","datomic;postgresql","amazon web services (aws);digital ocean","react;spring boot","insurance","","aws codewhisperer;github copilot;replit ghostwriter;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","some college/university study without earning a degree","c#;powershell;sql","microsoft sql server","microsoft azure","asp.net core","retail and consumer services","","codeium;replit ghostwriter","independent contractor, freelancer, or self-employed"
"umhlanga campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","haskell;java","","amazon web services (aws)","spring boot","oil & gas","chatgpt","aws codewhisperer;replit ghostwriter","employed, full-time"
"midrand campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;html/css;java;javascript;php;python","firebase realtime database;ibm db2;mysql;postgresql;sqlite","amazon web services (aws);firebase;google cloud","codeigniter;jquery;laravel;node.js;react","healthcare","chatgpt","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);javascript","couch db;dynamodb;influxdb;postgresql;sqlite","amazon web services (aws)","django;node.js;react","insurance","chatgpt","tabnine;whispr ai","employed, full-time"
"tyger valley campus","it","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","","sqlite","","","other","bing ai;chatgpt;wolframalpha","github copilot;whispr ai","i prefer not to say"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;dart;go;html/css;javascript;lua;python","","","","healthcare","","codeium;github copilot;replit ghostwriter;tabnine","not employed, but looking for work;student, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;python;sql","elasticsearch;h2;mysql;oracle","","angular;react","other","","aws codewhisperer;codeium;github copilot;tabnine","employed, full-time"
"tyger valley campus","computer science","i used to be a developer by profession, but no longer am","other (please specify):","bachelor’s degree (b.a., b.s., b.eng., etc.)","sql;zig","oracle","","","financial services","","aws codewhisperer;synk code","employed, part-time"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c++;html/css;javascript;kotlin;ruby;rust;sql;typescript","dynamodb;mysql;redis;sqlite","amazon web services (aws)","angular;node.js;react;ruby on rails","legal services","","tabnine;whispr ai","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","go;sql","postgresql","amazon web services (aws)","","healthcare","chatgpt","adrenaline;aws codewhisperer;github copilot","independent contractor, freelancer, or self-employed"
"tyger valley campus","data science","i am a developer by profession","developer, desktop or enterprise applications","some college/university study without earning a degree","bash/shell (all shells);c;c#;c++;delphi;html/css;javascript;python;sql","firebird;postgresql","","asp.net;node.js","wholesale","","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"pretoria campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript","cloud firestore;firebase realtime database;firebird;mariadb;microsoft access;microsoft sql server;postgresql","firebase;heroku;vmware","angular;django;drupal;jquery;laravel;node.js;react","oil & gas","chatgpt","adrenaline;codeium;github copilot","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;sql;typescript","mongodb","","express;next.js;node.js;react;solid.js","financial services","","github copilot;rubber duck.ai;tabnine","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","other (please specify):","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;python;sql","mariadb;microsoft sql server;mysql;postgresql;sqlite","amazon web services (aws);microsoft azure","angularjs;asp.net;asp.net core;flask;jquery","higher education","chatgpt","github copilot;replit ghostwriter;whispr ai","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, desktop or enterprise applications","associate degree (a.a., a.s., etc.)","cobol","microsoft sql server","google cloud","","financial services","","codeium;github copilot;synk code","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;java;javascript;kotlin","bigquery;elasticsearch;postgresql","amazon web services (aws);digital ocean;google cloud","spring boot;vue.js","legal services","chatgpt","tabnine","independent contractor, freelancer, or self-employed"
"umhlanga campus","data science","i am a developer by profession","developer, embedded applications or devices","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c#;c++","","","","financial services","","adrenaline;github copilot;rubber duck.ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer experience","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;lua;php;python;sql;typescript","mariadb;mysql;sqlite","managed hosting;microsoft azure","wordpress","healthcare","","github copilot;mintlify","independent contractor, freelancer, or self-employed"
"tyger valley campus","data science","i am a developer by profession","data scientist or machine learning specialist","master’s degree (m.a., m.s., m.eng., mba, etc.)","c++;python","","amazon web services (aws)","","healthcare","bing ai;chatgpt","aws codewhisperer;github copilot","employed, full-time"
"pretoria campus","it","i am learning to code","student","bachelor’s degree (b.a., b.s., b.eng., etc.)","assembly;bash/shell (all shells);c;c++;java;javascript;matlab;python;sql","mongodb;mysql;sqlite","vmware","express;node.js","oil & gas","bing ai","github copilot;synk code","not employed, but looking for work;student, full-time"
"tyger valley campus","computer science","i am a developer by profession","student","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;python;rust","oracle;postgresql","amazon web services (aws)","","other","","rubber duck.ai;tabnine","student, full-time;employed, part-time"
"umhlanga campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","","","","","advertising services","","mintlify","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, back-end","some college/university study without earning a degree","c++;html/css;java;javascript;php;python;sql","mysql;postgresql;redis;sqlite","heroku","codeigniter;drupal;jquery;laravel;symfony;wordpress","legal services","chatgpt","github copilot;mintlify;tabnine","not employed, but looking for work"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, front-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","dart;java;kotlin","mysql;sqlite","firebase","","financial services","chatgpt","github copilot","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;typescript","mongodb;postgresql;sqlite","amazon web services (aws)","angular;angularjs;express;jquery;node.js;react","healthcare","","aws codewhisperer;github copilot","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","kotlin;typescript","postgresql","amazon web services (aws)","react;spring boot","retail and consumer services","","aws codewhisperer;replit ghostwriter;tabnine","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;rust;sql;typescript","mongodb;mysql;postgresql","amazon web services (aws);cloudflare;netlify;vercel","express;nestjs;next.js;node.js;react;svelte","higher education","chatgpt","aws codewhisperer;mintlify","independent contractor, freelancer, or self-employed"
"umhlanga campus","data science","i am a developer by profession","other (please specify):","bachelor’s degree (b.a., b.s., b.eng., etc.)","assembly;bash/shell (all shells);c;c#;go;html/css;java;lisp;lua;nim;powershell;python;sql;typescript;zig","postgresql;sqlite","amazon web services (aws);microsoft azure","asp.net core;deno;express;node.js;react;vue.js","financial services","","adrenaline;github copilot;mintlify;replit ghostwriter;synk code","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;php;sql;vba","mariadb;microsoft access","","laravel;node.js;react","financial services","","github copilot","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, front-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;javascript;python","","","","healthcare","","adrenaline;synk code;whispr ai","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;sql","sqlite","amazon web services (aws)","","wholesale","chatgpt","github copilot;mintlify;tabnine","employed, full-time"
"nelson mandela bay campus","data science","i code primarily as a hobby","student","some college/university study without earning a degree","c;gdscript;java;javascript;php;python;rust;sql","h2;mysql;postgresql","cloudflare;microsoft azure;oracle cloud infrastructure (oci)","vue.js","oil & gas","chatgpt;wolframalpha","adrenaline;github copilot;rubber duck.ai","not employed, but looking for work;student, full-time"
"umhlanga campus","it","i am a developer by profession","developer, embedded applications or devices","some college/university study without earning a degree","c;java","postgresql","","spring boot","financial services","bing ai;chatgpt","aws codewhisperer;github copilot;synk code;tabnine","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, mobile","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;java;kotlin;python;swift","cloud firestore;snowflake;sqlite","firebase","","retail and consumer services","chatgpt","aws codewhisperer;tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;typescript","postgresql","amazon web services (aws);linode, now akamai;microsoft azure","react","manufacturing, transportation, or supply chain","chatgpt","aws codewhisperer;github copilot;mintlify;tabnine","employed, full-time"
